delta,ticker,exit_dte,held_days,ret,dd,calmar,sharpe,trades,in_mkt,pf,win
0.2,NBIS,0,165,0.1156960973805774,-0.43220030171002255,0.2676909222941768,0.44134643607196034,3,0.9779005524861878,2.024166679044533,0.3333333333333333
0.2,NBIS,15,150,0.1709170644732836,-0.40810169465953383,0.41880998464334784,0.4580477910625641,3,0.994475138121547,3.425402394346727,0.3333333333333333
0.2,NBIS,30,135,0.10394710299146959,-0.3671728135736946,0.2831013058394819,0.36924274192511947,3,1.0,1.472501000107244,0.3333333333333333
0.2,NBIS,45,120,0.5752627001121764,-0.2737014662801638,2.101788886740312,1.0428904719189676,4,0.9502762430939227,9.160369080377912,0.5
0.2,NBIS,60,105,0.12490255502845149,-0.17758590610206637,0.703335967194742,0.44413074118091905,5,0.9972375690607734,2.939050770846439,0.6
0.2,NBIS,75,90,0.27239678290127856,-0.31427524625605563,0.8667459055281223,0.6118979138088335,5,0.994475138121547,5.79430312644517,0.6
0.2,NBIS,90,75,0.8286225005722747,-0.1402735509007913,5.907189881849639,1.3472512803262455,6,0.9033149171270718,9.540033491879969,0.5
0.2,NBIS,105,60,0.5205652925170465,-0.21241717344694044,2.450674227840049,1.1238819207390063,8,0.9530386740331491,7.200187839218712,0.625
0.2,NBIS,120,45,0.5834980641009191,-0.08501339640937855,6.8636013704370535,1.3335518028234303,10,0.8977900552486188,5.578730831271747,0.4
0.2,NBIS,135,30,0.3665868637843872,-0.08205409505913952,4.467624236428104,1.0012973015392623,15,0.9005524861878453,3.2298782713941354,0.4
0.2,BE,0,165,1.2739982530551903,-0.7639700447775855,1.6676023644697866,0.42919259013530653,16,1.0,3.268625568880768,0.1875
0.2,BE,15,150,2.684808308800244,-0.60711779909349,4.422219728706736,0.5821280532579621,18,0.9658385093167702,5.18698158231196,0.2222222222222222
0.2,BE,30,135,1.387800917210309,-0.5700915459957073,2.434347477976386,0.4175392221636591,20,0.9653209109730849,2.9891780450621215,0.2
0.2,BE,45,120,2.858243911022216,-0.5159820536711683,5.539425045282204,0.561116480614777,23,0.9865424430641822,5.148597153319932,0.30434782608695654
0.2,BE,60,105,3.5741723018193046,-0.6549909470919135,5.456827025912693,0.6602928796454964,26,0.972567287784679,5.40237623140285,0.23076923076923078
