code,name,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,change_rate
US.BTBT,Bit Digital,2025-01-06 00:00:00,3.78,3.88,4.025,3.635,21130896.0,81810038.0,0.0,0.13832,3.69,5.1490514905149
US.BTBT,Bit Digital,2025-01-07 00:00:00,3.83,3.62,3.86,3.49,21506652.0,78121343.0,0.0,0.14078,3.88,-6.70103092783505
US.BTBT,Bit Digital,2025-01-08 00:00:00,3.44,3.36,3.51,3.185,13316326.0,44261292.0,0.0,0.08717,3.62,-7.182320441988955
US.BTBT,Bit Digital,2025-01-10 00:00:00,3.31,3.37,3.375,3.15,10953949.0,35990240.0,0.0,0.0717,3.36,0.29761904761904656
US.BTBT,Bit Digital,2025-01-13 00:00:00,3.17,3.21,3.23,3.04,14617104.0,45951634.0,0.0,0.09568,3.37,-4.747774480712175
US.BTBT,Bit Digital,2025-01-14 00:00:00,3.38,3.39,3.53,3.32,11441260.0,39047695.0,0.0,0.07489,3.21,5.607476635514019
US.BTBT,Bit Digital,2025-01-15 00:00:00,3.58,3.69,3.77,3.4905,20640150.0,74925632.0,0.0,0.13511,3.39,8.849557522123884
US.BTBT,Bit Digital,2025-01-16 00:00:00,3.64,3.63,3.69,3.49,12217484.0,44127189.0,0.0,0.07997,3.69,-1.6260162601625994
US.BTBT,Bit Digital,2025-01-17 00:00:00,3.79,3.68,3.88,3.64,17381125.0,65323610.0,0.0,0.11377,3.63,1.377410468319562
US.BTBT,Bit Digital,2025-01-21 00:00:00,3.71,3.7,3.78,3.515,20420133.0,74817035.0,0.0,0.13367,3.68,0.5434782608695565
US.BTBT,Bit Digital,2025-01-22 00:00:00,3.64,3.71,3.75,3.46,15459654.0,55625127.0,0.0,0.1012,3.7,0.2702702702702675
US.BTBT,Bit Digital,2025-01-23 00:00:00,3.57,3.65,3.9196,3.54,20246500.0,75733243.0,0.0,0.13253,3.71,-1.6172506738544534
US.BTBT,Bit Digital,2025-01-24 00:00:00,3.72,3.69,3.89,3.64,21202147.0,80281006.0,0.0,0.13879,3.65,1.0958904109588996
US.BTBT,Bit Digital,2025-01-27 00:00:00,3.44,3.11,3.465,2.99,23185169.0,73835993.0,0.0,0.15177,3.69,-15.718157181571812
US.BTBT,Bit Digital,2025-01-28 00:00:00,3.17,2.98,3.18,2.91,17081890.0,51132755.0,0.0,0.11181,3.11,-4.180064308681663
US.BTBT,Bit Digital,2025-01-29 00:00:00,2.97,3.05,3.09,2.92,17286813.0,52002682.0,0.0,0.11316,2.98,2.348993288590595
US.BTBT,Bit Digital,2025-01-30 00:00:00,3.14,3.25,3.32,3.12,23628838.0,76585150.0,0.0,0.15467,3.05,6.557377049180335
US.BTBT,Bit Digital,2025-01-31 00:00:00,3.26,3.15,3.35,3.12,14808611.0,48239602.0,0.0,0.09854,3.25,-3.076923076923077
US.BTBT,Bit Digital,2025-02-03 00:00:00,2.88,3.18,3.27,2.84,24917351.0,77310848.0,0.0,0.1658,3.15,0.9523809523809712
US.BTBT,Bit Digital,2025-02-04 00:00:00,3.17,3.23,3.26,3.115,14802422.0,47080772.0,0.0,0.09849,3.18,1.5723270440251458
US.BTBT,Bit Digital,2025-02-05 00:00:00,3.22,3.1,3.29,3.06,13832441.0,43434790.0,0.0,0.09204,3.23,-4.024767801857587
US.BTBT,Bit Digital,2025-02-06 00:00:00,3.13,3.09,3.27,3.03,13134632.0,41158167.0,0.0,0.0874,3.1,-0.3225806451612967
US.BTBT,Bit Digital,2025-02-07 00:00:00,3.16,3.09,3.325,3.06,14942726.0,47091328.0,0.0,0.09943,3.09,0.0
US.BTBT,Bit Digital,2025-02-10 00:00:00,3.14,3.06,3.14,3.02,10614248.0,32572433.0,0.0,0.07063,3.09,-0.9708737864077555
US.BTBT,Bit Digital,2025-02-11 00:00:00,3.015,2.91,3.095,2.9,9689487.0,28863692.0,0.0,0.06447,3.06,-4.901960784313719
US.BTBT,Bit Digital,2025-02-12 00:00:00,2.87,3.08,3.09,2.85,13671362.0,41058053.0,0.0,0.09097,2.91,5.841924398625431
US.BTBT,Bit Digital,2025-02-13 00:00:00,3.06,3.15,3.15,2.95,15285375.0,47307638.0,0.0,0.10171,3.08,2.2727272727272707
US.BTBT,Bit Digital,2025-02-14 00:00:00,3.155,3.12,3.1999,3.06,9902744.0,30995881.0,0.0,0.06589,3.15,-0.952380952380949
US.BTBT,Bit Digital,2025-02-18 00:00:00,3.12,2.98,3.15,2.98,15683333.0,48169107.0,0.0,0.10436,3.12,-4.487179487179493
