code,name,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,change_rate
US.LUNR,Intuitive Machines,2025-01-06 00:00:00,22.12,21.76,22.3199,20.9564,15032526.0,327403356.0,7.568,0.17558,21.89,-0.593878483325716
US.LUNR,Intuitive Machines,2025-01-07 00:00:00,21.79,19.87,22.29,19.65,14426953.0,296242185.0,6.911,0.1685,21.76,-8.685661764705888
US.LUNR,Intuitive Machines,2025-01-08 00:00:00,19.2,18.79,19.68,17.87,13434050.0,250018431.0,6.535,0.15691,19.87,-5.435329642677411
US.LUNR,Intuitive Machines,2025-01-10 00:00:00,18.43,17.87,19.0439,17.3,9506202.0,170775817.0,6.215,0.11103,18.79,-4.89622139435869
US.LUNR,Intuitive Machines,2025-01-13 00:00:00,16.99,16.91,17.27,15.86,10861300.0,179350352.0,5.881,0.12499,17.87,-5.372132064913271
US.LUNR,Intuitive Machines,2025-01-14 00:00:00,17.85,16.81,18.2999,16.725,8179969.0,141938082.0,5.846,0.09414,16.91,-0.5913660555884159
US.LUNR,Intuitive Machines,2025-01-15 00:00:00,17.65,19.18,19.25,17.54,16110945.0,297337155.0,6.671,0.18541,16.81,14.098750743605004
US.LUNR,Intuitive Machines,2025-01-16 00:00:00,19.2,19.06,19.7,18.47,9662013.0,184432891.0,6.629,0.11119,19.18,-0.6256517205422418
US.LUNR,Intuitive Machines,2025-01-17 00:00:00,19.205,18.51,19.86,18.5,9861889.0,188606488.0,6.438,0.11349,19.06,-2.885624344176274
US.LUNR,Intuitive Machines,2025-01-21 00:00:00,19.54,22.94,22.98,19.28,28615416.0,623117739.0,7.979,0.32931,18.51,23.93300918422474
US.LUNR,Intuitive Machines,2025-01-22 00:00:00,21.955,22.45,23.45,21.86,12616832.0,285126804.0,7.808,0.1452,22.94,-2.1360069747166643
US.LUNR,Intuitive Machines,2025-01-23 00:00:00,21.83,22.17,22.95,21.18,13019086.0,286839550.0,7.711,0.14983,22.45,-1.247216035634735
US.LUNR,Intuitive Machines,2025-01-24 00:00:00,23.19,23.07,24.95,22.76,23937030.0,571058667.0,8.024,0.27547,22.17,4.059539918809185
