code,name,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,change_rate
US.SPCE,Virgin Galactic,2025-01-06 00:00:00,6.7,6.43,6.74,6.43,1120798.0,7320841.0,0.0,0.04119,6.53,-1.5313935681470214
US.SPCE,Virgin Galactic,2025-01-07 00:00:00,6.56,6.24,6.6,6.18,1036573.0,6529757.0,0.0,0.0381,6.43,-2.954898911353021
US.SPCE,Virgin Galactic,2025-01-08 00:00:00,6.1,5.9,6.115,5.81,2119934.0,12573860.0,0.0,0.07791,6.24,-5.448717948717952
US.SPCE,Virgin Galactic,2025-01-10 00:00:00,5.83,5.81,5.89,5.55,1961366.0,11291989.0,0.0,0.07209,5.9,-1.5254237288135686
US.SPCE,Virgin Galactic,2025-01-13 00:00:00,5.69,5.47,5.69,5.225,2288696.0,12381744.0,0.0,0.08412,5.81,-5.851979345955249
US.SPCE,Virgin Galactic,2025-01-14 00:00:00,5.6,5.32,5.65,5.31,1078450.0,5835527.0,0.0,0.03964,5.47,-2.7422303473491727
US.SPCE,Virgin Galactic,2025-01-15 00:00:00,5.5,5.28,5.52,5.28,2020460.0,10747667.0,0.0,0.07426,5.32,-0.7518796992481258
US.SPCE,Virgin Galactic,2025-01-16 00:00:00,5.32,5.28,5.42,5.26,1289750.0,6866149.0,0.0,0.0474,5.28,0.0
US.SPCE,Virgin Galactic,2025-01-17 00:00:00,5.38,5.15,5.38,5.06,2189479.0,11380837.0,0.0,0.08047,5.28,-2.4621212121212155
US.SPCE,Virgin Galactic,2025-01-21 00:00:00,5.3,5.49,5.71,5.1,5199920.0,28405785.0,0.0,0.19111,5.15,6.601941747572804
US.SPCE,Virgin Galactic,2025-01-22 00:00:00,5.51,5.37,5.57,5.33,2506600.0,13556225.0,0.0,0.09213,5.49,-2.1857923497267784
US.SPCE,Virgin Galactic,2025-01-23 00:00:00,5.34,5.37,5.49,5.19,1526929.0,8114802.0,0.0,0.05612,5.37,0.0
US.SPCE,Virgin Galactic,2025-01-24 00:00:00,5.4,5.36,5.74,5.3,2562206.0,14130228.0,0.0,0.09417,5.37,-0.18621973929235924
US.SPCE,Virgin Galactic,2025-01-27 00:00:00,5.22,4.99,5.421,4.91,3684872.0,18650020.0,0.0,0.13543,5.36,-6.902985074626866
US.SPCE,Virgin Galactic,2025-01-28 00:00:00,5.02,4.58,5.0555,4.56,3294372.0,15483774.0,0.0,0.12108,4.99,-8.21643286573146
US.SPCE,Virgin Galactic,2025-01-29 00:00:00,4.58,4.5,4.6029,4.385,2142614.0,9571092.0,0.0,0.07875,4.58,-1.7467248908296984
US.SPCE,Virgin Galactic,2025-01-30 00:00:00,4.56,4.74,4.85,4.52,2060941.0,9743707.0,0.0,0.07575,4.5,5.3333333333333455
US.SPCE,Virgin Galactic,2025-01-31 00:00:00,4.78,4.76,5.0171,4.66,1824307.0,8824867.0,0.0,0.06705,4.74,0.42194092827003704
US.SPCE,Virgin Galactic,2025-02-03 00:00:00,4.53,4.56,4.66,4.46,1098454.0,5011773.0,0.0,0.04037,4.76,-4.201680672268915
US.SPCE,Virgin Galactic,2025-02-04 00:00:00,4.58,4.75,4.809,4.49,1607618.0,7522931.0,0.0,0.05909,4.56,4.166666666666674
US.SPCE,Virgin Galactic,2025-02-05 00:00:00,4.79,4.56,4.81,4.545,1162503.0,5380727.0,0.0,0.04273,4.75,-4.0000000000000036
US.SPCE,Virgin Galactic,2025-02-06 00:00:00,4.55,4.5,4.645,4.46,1236980.0,5604690.0,0.0,0.04546,4.56,-1.3157894736842035
